127.0.0.1 - - [08/Jun/2020:10:28:56 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:28:59 +0900] "GET /Europe/index.jsp HTTP/1.1" 200 12799
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:28:59 +0900] "GET /Europe/resources/assets/css/iconfont.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:28:59 +0900] "GET /Europe/resources/assets/css/slick/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:28:59 +0900] "GET /Europe/resources/assets/css/slick/slick-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:28:59 +0900] "GET /Europe/resources/assets/css/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:28:59 +0900] "GET /Europe/resources/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:28:59 +0900] "GET /Europe/resources/assets/css/jquery.fancybox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:28:59 +0900] "GET /Europe/resources/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:00 +0900] "GET /Europe/resources/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:00 +0900] "GET /Europe/resources/ssets/css/plugins.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:00 +0900] "GET /Europe/resources/assets/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:00 +0900] "GET /Europe/resources/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:00 +0900] "GET /Europe/assets/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:00 +0900] "GET /Europe/resources/assets/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:00 +0900] "GET /Europe/resources/assets/images/stab1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:00 +0900] "GET /Europe/resources/assets/images/servicerightimg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:00 +0900] "GET /Europe/resources/assets/js/vendor/jquery-1.11.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:00 +0900] "GET /Europe/resources/assets/fonts/sourcesanspro-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:00 +0900] "GET /Europe/resources/assets/fonts/opensans-bold.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:00 +0900] "GET /Europe/resources/assets/js/vendor/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:00 +0900] "GET /Europe/resources/assets/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:00 +0900] "GET /Europe/resources/assets/js/jquery.magnific-popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:00 +0900] "GET /Europe/resources/assets/fonts/sourcesanspro-bold.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:00 +0900] "GET /Europe/resources/assets/fonts/opensans-semibold.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:00 +0900] "GET /Europe/resources/assets/js/jquery.mixitup.min.js HTTP/1.1" 304 -
